Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3),Time(millisec)
7.4055,3.4905,2.8695,0,14.8955,39.8931670297479,0
7.142,3.732,2.711,0,20.4945,37.8352119231579,0
6.50666666666667,2.88333333333333,2.55333333333333,0,14.2883333333333,25.0826908093965,0
7.326,3.2065,2.7715,0,18.392,34.0865764703327,0
6.194,2.543,2.515,0,12.263,20.7421692138536,0
