Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3),Time(millisec)
7.047,3.733,2.719,524.696746578953,20.294,37.4515754267737,14965
7.139,3.757,2.711,381.039392583756,20.661,38.0720898664435,15024
7.207,3.821,2.69,254.118552818423,20.793,38.7866670422484,15081
6.409,3.777,2.674,132.826672259435,19.587,33.892006548521,15139
5.801,2.855,2.493,600.824689874448,13.674,21.618715130094,15196
6.652,2.891,2.551,524.066101881268,14.789,25.6867650369249,15247
6.662,2.901,2.538,382.043103596258,14.957,25.6828134495318,15303
6.617,2.924,2.561,252.620580959221,15.014,25.9445835325547,15364
5.733,2.946,2.515,119.614279246594,13.799,22.2408456422002,15419
6.188,2.805,2.47,492.429523984787,13.952,22.4480564699591,15479
6.284,2.821,2.493,351.294780234682,14.2,23.139829963519,15534
6.321,2.828,2.493,219.818040491685,14.203,23.3338335891693,15590
6.28,2.807,2.481,134.406470118365,14.143,22.8995760935658,15640
5.919,3.15,2.718,611.560203508149,14.466,26.5342592756395,15855
7.351,3.172,2.737,483.956541148423,18.021,33.4158891141858,15915
7.366,3.188,2.744,349.209074456353,18.159,33.7390427530289,15972
7.297,3.196,2.75,217.048738572495,18.227,33.580134633838,16031
7.365,2.832,2.674,559.781552192997,15.169,29.2029029680617,16517
7.451,2.861,2.697,423.528626770936,15.734,30.1031532805341,16578
7.46,2.887,2.713,289.614484997562,15.857,30.5938425604239,16633
7.338,2.883,2.699,157.716921987967,15.528,29.8967415215789,16692
6.197,3.335,2.967,523.183606309747,15.864,32.1065397937377,16858
6.304,3.338,3.003,368.64265099328,16.25,33.0869314248032,16914
6.307,3.354,3.01,241.465842074224,16.253,33.338880099604,16971
5.099,3.014,2.923,619.700697294231,12.826,23.5209954344419,17479
7.297,3.065,2.946,518.483367614014,17.101,34.4989748406979,17537
7.365,3.074,2.969,389.161619617059,17.262,35.1953618196182,17595
7.34,3.087,2.987,260.581453969197,17.282,35.437782172706,17654
6.714,3.054,2.969,141.407108321925,16.692,31.8756602744709,17708
5.402,3.069,2.878,620.19974644791,12.691,24.9827867093276,17759
7.51,3.091,2.914,559.240999257878,17.067,35.4182510377862,17815
7.587,3.15,2.934,412.924363511255,17.412,36.714648074902,17869
7.659,3.172,2.946,281.237715550874,17.549,37.474566093472,17930
6.866,3.127,2.923,145.947789884764,16.918,32.8593613278291,17992
5.325,2.742,2.632,614.123195646166,12.077,20.1220196984449,18100
6.458,2.787,2.674,499.72017083918,13.906,25.1996805068396,18156
6.36,2.828,2.815,368.394933226203,14.06,26.5102328462637,18219
6.341,2.857,2.791,233.790086341222,14.006,26.4744198770112,18274
5.377,2.802,2.697,112.171896391216,12.502,21.275889995731,18332
6.753,3.58,3.15,577.791102815368,18.707,39.8739217690259,18391
7.591,3.762,3.172,440.764218353047,19.774,47.4296132771788,18451
7.591,3.807,3.172,306.760887993838,19.888,47.9969531489154,18511
7.365,3.689,3.172,171.203609355658,19.704,45.1245836006065,18572
6.188,3.422,3.094,595.178716286445,17.703,34.3043537276811,18632
7.609,3.444,3.119,475.967366233722,20.222,42.7961522569062,18684
7.603,3.458,3.143,388.89564511516,20.348,43.2666213380337,18734
7.562,3.467,3.148,244.762433802247,20.313,43.2139396095425,18788
6.164,3.49,3.111,126.165570696097,17.843,35.041822903231,18843
7.64,3.329,2.969,548.148497710981,20.021,39.5381162181893,19049
7.886,3.355,2.991,413.162364181814,20.369,41.4347127672456,19103
7.948,3.353,3.01,281.559560039905,20.331,42.000700115277,19158
7.455,3.331,3.014,155.418164868824,19.922,39.1889972207694,19215
7.004,3.228,3.082,559.713434296902,17.835,36.4847118109754,19271
7.297,3.308,3.104,432.175048583989,18.144,39.2310725889813,19325
7.342,3.671,3.127,303.507544199395,18.428,44.1291201185715,19385
7.329,3.358,3.116,177.575414675943,18.378,40.1533223024691,19443
5.956,3.428,2.28,304.425309535295,12.241,24.3741214984453,20127
6.871,3.643,3.127,571.239373630902,19.73,40.9831771534559,20209
7.183,3.666,3.15,430.549300683151,20.382,43.431767438155,20269
7.319,3.66,3.172,295.469507414636,20.522,44.4902282168613,20328
7.249,3.641,3.163,163.919894178567,20.477,43.711588869092,20381
6.788,3.512,3.236,526.417341209072,17.604,40.3927550711055,20443
6.733,3.558,3.282,376.164445151217,17.76,41.1672405626567,20502
6.692,3.55,3.269,245.0668560963,17.71,40.6628512920055,20556
5.778,3.648,3.263,117.109163997236,16.351,36.0120681434987,20619
6.073,3.83,3.512,598.73973972651,19.426,42.7715692713535,22717
8.112,3.852,3.557,529.506322745111,22.963,58.1964787524822,22766
8.248,3.898,3.58,375.542100134223,23.273,60.2659679115035,22819
8.294,3.92,3.58,237.202972184343,23.346,60.9441110963978,22879
5.892,3.92,3.58,119.830842983439,19.245,43.2942732794762,22938
5.573,2.629,2.487,617.969152650446,11.016,19.0789309729245,26763
6.096,2.674,2.543,478.579389879433,12.571,21.7045778716747,26816
6.141,2.694,2.561,348.039342966431,12.775,22.1842570887752,26874
6.918,2.914,2.907,565.211310072195,15.327,30.684126123436,26928
7.002,2.991,2.946,435.181575324505,15.666,32.3050103321725,26985
6.979,3,2.969,347.978436438681,15.8,32.547922479599,27035
6.925,3.001,2.969,185.102432806508,15.644,32.3068483487052,27091
6.155,2.919,2.916,584.558290974382,13.537,27.4314202888388,27145
6.422,2.995,2.94,494.802893520547,14.647,29.6082732867375,27200
6.445,3.024,2.964,339.424216223694,14.847,30.2469459413551,27248
6.403,3.024,3.015,251.200231281715,14.875,30.5668881248071,27298
6.125,2.544,2.515,504.960380789389,12.002,20.5191710452523,27733
6.248,2.567,2.538,374.539349862721,12.25,21.3136156383241,27792
6.254,2.572,2.538,242.487565195047,12.323,21.375637764739,27848
5.798,2.538,2.525,117.21249625784,11.721,19.454937213054,27902
5.971,2.803,2.425,344.534949786766,12.442,21.2510569032748,28564
4.192,3.58,3.24,644.015670789251,12.016,25.4593864399198,28869
6.975,3.626,3.398,566.142666090857,18.873,44.9980825971889,28925
7.162,4.361,3.492,435.265290384624,21.528,57.1075147615873,28982
7.274,3.716,3.507,305.074900470503,19.951,49.6344701618147,29038
7.255,3.693,3.372,184.632532218739,19.751,47.3045496969135,29094
