Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.507,3.206,3.07,16.035,33.5336882494338,-84.2894058227539,-69.4439544677734
6.298,3.215,2.389,14.861,25.3278546732862,-71.565055847168,-11.9441757202148
6.065,3.154,3.077,13.839,30.8190049617322,-45,-51.7661743164063
6.82,3.515,2.929,18.028,36.7644182329178,0,0
6.62,3.404,2.854,13.459,33.6744205942684,-1.39718103408813,-36.2538375854492
6.109,3.473,2.887,16.021,32.0715769535944,0,0
7.184,3.389,2.945,16.256,37.5423810947342,0,-77.47119140625
6.098,3.389,3.01,14.468,32.5704760884508,0,-19.9831066131592
6.248,3.369,3.14,15.414,34.6075059498449,-29.0546054840088,-74.3577575683594
6.216,3.484,3.18,15.33,36.0591009522484,-86.633544921875,-4.39870548248291
6.941,3.501,2.929,18.374,37.2676621003551,0,-14.036244392395
5.784,3.024,2.176,13.946,19.9281775757897,-76.6512680053711,-75.9637603759766
