Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.637,2.769,2.609,10.994,21.3227734170376,-26.5650501251221,-78.690071105957
5.533,2.722,2.673,11.221,21.0788237319337,-45,-49.3987045288086
5.865,2.745,2.642,11.404,22.2711068135244,-32.6192436218262,-47.2906112670898
6.238,2.751,2.195,11.318,19.7228243843332,-64.4861297607422,-60.2551155090332
5.9,2.763,2.552,11.536,21.7827240087559,-4.39870500564575,0
5.702,2.692,2.325,10.902,18.6863228513287,-45,-57.2647705078125
6.192,2.711,2.552,12.112,22.4305414751632,0,-70.5599670410156
5.651,2.642,2.604,10.245,20.3562475098832,-11.3099327087402,-45
5.439,2.636,2.05,11.058,15.3892320428012,0,0
5.192,2.759,2.472,10.438,18.5410136227825,-49.3987045288086,-48.8140754699707
4.979,2.553,2.51,9.377,16.7057233400839,0,-33.6900634765625
5.927,2.862,2.659,12.572,23.6168252614669,-71.5650482177734,-52.1250152587891
5.416,2.956,2.544,10.344,21.3254799760777,-78.690071105957,-63.4349517822266
5.595,2.657,2.552,10.865,19.8641935247627,-26.5650501251221,0
5.148,2.811,2.226,11.006,16.8664299194908,-45,-75.0685806274414
