Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.616,3.145,3.138,15.439,34.1875286704625,0,-37.8749847412109
6.17,2.943,2.876,13.139,27.3440557073192,-14.036244392395,-74.5778350830078
6.518,3.186,2.874,15.485,31.2496756266521,-34.6951560974121,-34.6951522827148
6.272,3.252,2.959,15.014,31.6009525704522,-45,-23.1985893249512
6.807,3.255,3.059,16.398,35.4882711559188,-6.34019136428833,-60.9453964233398
6.57,3.178,3.106,15.313,33.9562198007233,-84.8055725097656,-62.8188896179199
6.834,3.013,2.825,14.349,30.4572845387599,0,-10.3048467636108
5.963,2.87,2.783,12.517,24.9378228037504,-83.4180526733398,-50.0131149291992
6.569,2.971,2.929,14.287,29.9309090774903,0,0
6.634,3.095,2.921,14.615,31.4026500763321,-14.036244392395,-83.2901611328125
5.918,3.418,2.972,12.909,31.4770806360738,-57.52880859375,-7.4314079284668
6.653,3.096,3.02,15.214,32.5704711352064,-9.46232223510742,0
6.527,3.013,2.678,14.419,27.5754075215828,0,0
6.371,3.058,2.727,14.271,27.8181885494039,-38.6598091125488,-56.3099365234375
6.489,3.091,2.971,14.587,31.2016853782714,-77.47119140625,-74.0546035766602
5.855,2.837,2.523,12.323,21.9433084571776,-73.3007583618164,-67.3801345825195
6.114,2.712,2.636,12.873,22.8854337367136,0,-11.76828956604
6.25,3.031,2.782,14.05,27.5944474171784,-63.4349517822266,-68.1985931396484
6.701,3.096,2.965,15.198,32.2080098199666,0,-2.38594388961792
