Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.272,2.414,2.301,9.461,15.3330272789012,0,-58.7362670898438
5.004,2.233,1.958,8.352,11.4555866288569,-34.1144752502441,-81.6743469238281
5.207,2.396,2.134,9.671,13.9401494181195,-45,0
5.243,2.385,2.362,9.396,15.4648872016425,-41.185920715332,0
5,2.456,1.81,9.398,11.6379252654683,-45,-69.6235656738281
5.17,2.426,2.361,9.013,15.5051491776485,-45,-83.6598129272461
4.903,2.283,1.926,8.555,11.2881483892252,-26.5650501251221,-57.2647705078125
5.397,2.283,2.142,8.091,13.8189936848527,-63.4349517822266,-53.1301040649414
4.731,2.238,2.229,7.762,12.3572468142848,-48.1798324584961,-2.60256218910217
5.5,2.588,2.259,10.065,16.8361123314457,0,-75.9637603759766
3.811,2.183,2.152,6.698,9.37418615898862,-63.4349517822266,-18.4349479675293
4.882,2.487,2.006,8.447,12.7527284265879,-74.0546035766602,-88.4518432617188
3.905,1.991,1.939,5.937,7.89348393884291,-46.7357063293457,-29.0546054840088
