Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.051,2.372,2.231,10.282,16.7664079994,-64.6538238525391,-72.9794692993164
4.479,2.293,2.219,7.906,11.9327637323425,-82.2348327636719,-24.9047679901123
5.825,2.134,2.131,9.144,13.8698708395886,0,-75.9637603759766
4.924,2.343,2.25,8.289,13.5916278060619,0,-41.0090866088867
5.605,2.13,2.071,8.775,12.9459504836763,-33.3106269836426,-45
6.276,2.427,2.382,11.824,18.9973529144755,-3.01278734207153,0
5.625,2.37,2.235,9.68,15.6008055060304,-23.7494945526123,-48.8140754699707
6.139,2.474,2.288,11.484,18.1949962789487,-16.6992435455322,-18.4349479675293
5.055,2.272,2.209,7.987,13.2838457852941,-2.48955297470093,-6.91122722625732
6.142,2.385,2.15,9.272,16.4905552037086,0,-38.6598052978516
