Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.536,2.199,1.811,9.179,11.5435232881156,-69.775146484375,-5.71059226989746
6.157,2.218,2.131,9.406,15.2374666266764,0,-81.7241134643555
5.818,2.153,2.098,9.402,13.7601083266523,-34.6951522827148,-41.467700958252
6.112,2.448,2.179,11.221,17.0706717568381,-7.59464359283447,-77.7352294921875
5.781,2.45,2.098,10.833,15.5586947341637,-80.5376739501953,-82.8749847412109
5.439,2.444,1.959,7.495,13.6349427472511,-75.9637603759766,-29.7448825836182
4.734,2.337,1.871,7.921,10.8382552749494,-45,-63.4349517822266
5.549,2.245,2.226,8.81,14.5196066965116,-50.7105941772461,-10.3048458099365
5.439,2.069,1.925,8.078,11.3425030739239,0,-84.5596694946289
5.71,2.456,2.134,10.266,15.6695854883169,0,-45
6.074,2.125,2.064,9.217,13.9489666916481,-1.63657712936401,-9.46232223510742
5.112,2.259,2.058,8.192,12.4437440240639,0,-36.6341171264648
6.197,2.238,1.903,8.488,13.8190754793591,-79.6951522827148,-33.6900634765625
5.707,2.335,2.094,8.653,14.6106674874518,-41.1859283447266,-31.8274478912354
4.806,2.297,1.998,7.217,11.5488533833267,-61.6992454528809,-58.6713027954102
5.95,2.385,2.345,10.491,17.4239581167066,-51.8427734375,-36.8698959350586
