Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
13.751,6.577,4.995,70.106,236.535450187139
13.725,6.639,5.12,69.99,244.277577841563
10.423,5.753,4.686,45.681,147.125522554332
13.668,6.557,5.063,69.763,237.583733903679
10.418,5.941,4.561,47.841,147.809585810876
10.628,6.025,4.519,49.079,151.512882498053
