Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.584,2.545,2.421,9.756,18.0146823234044,-63.4349517822266,-71.5650482177734
5.188,2.51,2.243,10.124,15.293313271005,-36.0273780822754,0
5.632,2.732,2.322,11.273,18.707001404794,-69.6235580444336,-63.4349517822266
5.497,2.797,2.552,11.687,20.5445908065747,0,-4.76364183425903
5.444,2.633,2.526,10.424,18.9583677853965,-63.4349517822266,-45
5.568,2.669,2.515,11.309,19.5697109966709,-45,-30.9637546539307
4.483,2.47,1.923,7.919,11.149197241555,-63.4349517822266,-4.08561658859253
