Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
5.576,2.152,1.841,8.663,11.5669123030027
6.35,2.549,2.128,11.863,18.0349028284721
6.241,2.176,1.712,8.961,12.173499892793
4.874,2.335,2.28,8.591,13.5864463772983
5.17,2.351,1.983,9.075,12.6201497639961
5.031,1.463,1.357,5.256,5.22970405807261
6.549,2.78,2.542,13.754,24.2322619396946
4.425,1.836,1.684,5.769,7.16352302888705
5.036,2.135,1.967,8.443,11.0735426586723
5.244,2.377,1.841,9.275,12.015567169006
5.646,2.237,1.71,9.503,11.3084111623276
4.734,2.245,1.878,8.101,10.4505418599512
4.846,2.713,2.297,9.699,15.8122190129753
5.064,2.552,2.154,8.472,14.5753397973985
6.123,2.763,2.094,10.176,18.5489975563966
4.553,2.284,2.268,7.804,12.3491032689143
