Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
7.51,3.325,3.014,20.227,39.4070075350745,-14.9314165115356,-87.2736892700195
7.512,3.331,2.991,20.222,39.1872914836134,-14.9314165115356,0
7.508,3.323,2.991,20.183,39.072359715585,-14.6208744049072,0
7.512,3.331,3.011,20.215,39.4493261976462,-14.9314165115356,-87.2736892700195
7.505,3.314,3.013,20.159,39.2374662044118,-14.4702930450439,-87.2736892700195
7.506,3.322,2.991,20.205,39.0501964956971,-14.9314165115356,0
7.506,3.329,3.011,20.195,39.3941498937916,-14.6208744049072,-87.1375961303711
7.504,3.322,3.011,20.186,39.3008398555055,-14.9314184188843,-87.3974456787109
7.51,3.331,3.011,20.221,39.4388231821516,-14.9314165115356,-87.2736892700195
7.504,3.331,2.994,20.182,39.1848218273629,-14.9314184188843,-88.210090637207
7.507,3.331,2.991,20.194,39.1612083556291,-14.9314184188843,0
7.509,3.329,2.991,20.192,39.1481221582447,-14.6208753585815,0
7.51,3.331,2.991,20.196,39.1768582324196,-14.9314165115356,0
7.514,3.329,3.013,20.188,39.4623314414239,-14.6208744049072,-87.1375961303711
7.516,3.331,3.01,20.206,39.4572235165037,-14.9314165115356,-87.2736892700195
7.512,3.331,2.969,20.217,38.8990532981772,-14.9314165115356,0
7.51,3.322,2.969,20.196,38.7836237552649,-14.6208744049072,0
7.509,3.337,3.012,20.213,39.5177219181217,-14.9314184188843,-87.1375961303711
7.516,3.333,3.012,20.231,39.507147599993,-14.6208744049072,-87.1375961303711
7.517,3.331,3.011,20.243,39.4755837363827,-14.9314184188843,-87.2736892700195
7.512,3.331,3.013,20.203,39.4755296690495,-14.9314165115356,-87.3974456787109
7.508,3.337,3.012,20.236,39.5124592037898,-15.9453954696655,-87.1375961303711
7.506,3.322,3.012,20.194,39.3243703928584,-14.7435626983643,-87.1375961303711
7.509,3.331,3.013,20.195,39.4597646811625,-14.9314184188843,-87.2736892700195
7.51,3.331,3.015,20.228,39.491216172098,-14.9314165115356,-87.1375961303711
7.508,3.323,3.014,20.161,39.3728158417831,-14.6208744049072,-86.9872131347656
7.508,3.319,3.013,20.193,39.3123739553225,-14.6208744049072,-87.2736892700195
7.504,3.331,3.011,20.199,39.4073141356679,-14.9314184188843,-87.1375961303711
7.516,3.333,3.014,20.235,39.5333807657301,-14.6208744049072,-86.9872131347656
7.513,3.331,3.013,20.222,39.4807846650118,-14.9314184188843,-87.2736892700195
7.5,3.318,3.013,20.156,39.2586534141909,-14.6208744049072,-87.3974456787109
7.507,3.325,3.011,20.217,39.3520574274617,-14.9314184188843,-87.1375961303711
7.514,3.329,3.011,20.203,39.4361367308753,-14.6208744049072,-87.1375961303711
7.507,3.331,3.011,20.197,39.4230686589098,-14.9314184188843,-87.2736892700195
7.514,3.331,2.991,20.238,39.1977247348071,-14.9314165115356,0
7.505,3.317,3.01,20.159,39.2338824011763,-14.4702930450439,-87.2736892700195
7.503,3.331,3.012,20.191,39.4151486666546,-14.9314184188843,-87.1375961303711
7.504,3.325,3.01,20.192,39.3232670738961,-14.9314184188843,-87.2736892700195
7.509,3.331,3.011,20.203,39.4335716744043,-14.9314184188843,-87.2736892700195
7.498,3.337,3.011,20.21,39.4467311866129,-15.9453973770142,-87.2736892700195
7.506,3.331,2.992,20.222,39.1690830010887,-14.9314165115356,-88.210090637207
7.51,3.325,2.991,20.188,39.1062904901817,-14.9314165115356,0
7.506,3.325,2.991,20.197,39.0854615738088,-14.9314165115356,0
7.507,3.331,3.013,20.208,39.4492546892378,-14.9314184188843,-87.2736892700195
7.51,3.333,3.013,20.233,39.4887152758502,-14.6208744049072,-87.2736892700195
7.507,3.32,2.991,20.189,39.0318858422962,-14.036244392395,0
7.503,3.322,3.013,20.175,39.3217039001203,-14.9314184188843,-87.2736892700195
7.509,3.318,3.012,20.181,39.2927184070506,-14.6208753585815,-87.3974456787109
7.506,3.329,3.011,20.187,39.3941498937916,-14.6208744049072,-87.1375961303711
7.506,3.331,2.991,20.191,39.1559917300322,-14.9314165115356,0
7.506,3.331,3.012,20.192,39.430908422219,-14.9314165115356,-87.1375961303711
7.516,3.331,3.013,20.241,39.4965496528988,-14.9314165115356,-87.2736892700195
7.509,3.335,3.013,20.231,39.5071495682008,-15.2551202774048,-87.2736892700195
7.505,3.321,2.991,20.167,39.0332405049024,-14.6208753585815,0
7.506,3.331,3.012,20.19,39.430908422219,-14.9314165115356,-87.1375961303711
7.509,3.323,3.012,20.202,39.3519298573324,-14.6208753585815,-87.1375961303711
7.509,3.331,3.013,20.216,39.4597646811625,-14.9314184188843,-87.2736892700195
7.507,3.331,3.003,20.205,39.3183245375975,-14.9314184188843,-88.1523895263672
7.503,3.325,2.991,20.155,39.0698398865291,-14.9314184188843,0
7.506,3.331,3.011,20.209,39.4178171511625,-14.9314165115356,-87.1375961303711
