Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.689,3.302,2.646,14.262,30.6003734749725,-81.4692306518555,-77.0053787231445
6.946,3.453,3.096,18.084,38.8804185643613,-71.565055847168,0
7.204,3.555,3.253,18.282,43.6210379026144,-19.9831066131592,-63.4349517822266
7.211,3.514,3.317,18.553,44.0089844133155,-83.2901611328125,-84.6106872558594
6.853,3.88,3.096,17.887,43.1034499257682,0,-49.5739250183105
7.474,3.502,3.021,18.738,41.4017389657535,-14.9314165115356,-76.4295654296875
6.961,3.556,3.529,18.217,45.7386841961306,-64.9831008911133,0
7.203,3.775,3.361,20.588,47.8517147868455,-18.4349479675293,-16.9275131225586
7.008,3.408,3.109,18.441,38.8788153719311,-21.0375118255615,-36.0273704528809
7.155,3.64,3.096,18.558,42.2192579725296,0,0
6.736,3.499,3.25,17.703,40.1077227594974,-63.4349517822266,-82.6004028320313
