Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3),Time(millisec)
6.027,2.806,2.606,322.056918016405,12.332,23.076072345924,5777
6.007,3.172,2.62,234.445572370652,12.368,26.1391056571285,5829
6.753,3.558,3.239,557.219459669251,18.082,40.7485597965713,5882
6.806,3.595,3.266,424.24943595469,18.397,41.8413455401653,5936
6.796,3.639,3.281,335.787827541435,18.522,42.4854554664745,5984
6.741,3.648,3.259,200.931457200725,18.465,41.9625758789272,6035
4.963,3.58,3.218,96.5069297418471,14.431,29.9372541254692,6094
3.58,3.218,2.81,667.190822083647,8.271,16.9501680621738,7634
6.209,3.852,3.535,598.305176210495,19.665,44.2686194856789,7687
7.659,3.891,3.58,520.891424934409,23.127,55.8618030472768,7741
7.667,3.937,3.621,360.64430803287,23.506,57.2292461440604,7794
7.642,4.133,3.617,269.762322436483,23.593,59.8163032946862,7844
6.3,3.988,3.603,132.055658543572,20.913,47.3978435947438,7900
5.938,2.773,2.521,441.757124324324,11.874,21.735094403169,12143
5.961,2.776,2.531,303.64348285111,11.997,21.929531374874,12198
6.044,2.753,2.513,173.444799006275,11.988,21.893831834395,12251
6.281,3.019,2.896,589.425965448962,14.436,28.7533920704201,12406
6.825,3.04,2.978,457.835357039607,15.393,32.351882385626,12462
6.989,3.044,2.987,324.637173690637,15.559,33.2731205502617,12520
7.127,3.028,2.983,191.06189058019,15.518,33.7065656991199,12572
6.038,3.259,2.963,113.464516937733,13.655,30.5286600556785,12624
6.317,3.394,2.897,491.314508977724,14.425,32.5214448780567,12678
6.336,3.493,2.92,349.567942671071,14.534,33.8372630807358,12733
6.249,3.582,2.913,214.774133189861,14.316,34.1409194646415,12790
6.127,2.902,2.493,128.737390995493,13.975,23.2095216255216,12840
6.116,2.515,2.49,475.415229823586,12.002,20.0541119741227,12888
6.174,2.515,2.498,389.895443838465,12.099,20.3093334847518,12939
6.229,2.529,2.511,244.434308881287,12.159,20.7115449273021,12992
5.644,2.814,2.357,352.204623660445,12.187,19.6005971627208,14138
4.804,3.626,3.211,628.016803861892,14.167,29.2866519764665,14184
7.73,3.648,3.376,530.901094497796,19.314,49.8465819903522,14234
7.82,3.691,3.534,399.580452914877,19.851,53.4091868267764,14289
7.276,3.7,3.585,274.989728337946,20.005,50.5338278771284,14348
6.788,3.679,3.24,141.71584739014,19.397,42.3657846184946,14408
6.019,2.855,2.787,600.521985461802,14.411,25.0764495510868,15590
7.185,2.862,2.793,533.145580471486,16.373,30.0722525453482,15641
7.301,2.896,2.819,386.901743821736,16.799,31.2086227976306,15694
7.384,2.9,2.835,256.786475135431,16.872,31.7864019911652,15751
6.686,2.892,2.822,136.037326136376,15.887,28.5706612918362,15805
7.01,3.694,2.693,553.602539200679,19.96,36.5131990589695,16109
7.076,3.739,2.709,415.529541462842,20.417,37.527610873835,16163
