Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.385,2.693,2.278,9.718,17.2971440849969,-41.6335411071777,-45
5.262,2.477,2.01,9.44,13.7173913834359,-19.9831066131592,-49.3987045288086
5.91,2.636,1.923,9.695,15.6859488087563,0,-82.5685882568359
5.345,2.514,2.469,10.215,17.3713149826811,-71.5650482177734,0
5.634,2.598,2.426,10.221,18.5928261385599,-33.1785125732422,-59.9314193725586
4.932,2.507,2.469,9.203,15.9844285296945,-75.9637603759766,0
5.901,2.539,2.514,11.266,19.7220570691771,-71.5650482177734,-74.7448806762695
4.351,2.552,1.941,8.712,11.2848011573412,-81.8698959350586,0
5.396,2.609,2.481,9.655,18.2882187034518,-8.53076553344727,-50.1944274902344
5.403,2.569,2.275,10.213,16.5340442315423,-82.1466827392578,-82.8749847412109
4.979,2.325,2.03,7.27,12.3043802439066,-82.4505844116211,-3.69138598442078
5.385,2.633,2.51,10.693,18.6341209696994,-45,0
5.2,2.752,2.587,10.538,19.3841527846987,-21.8014068603516,-18.4349479675293
