Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
6.4285,2.646,2.1515,10.1695,19.1607929978391
5.427,2.697,2.153,10.132,16.4999800900543
5.3905,2.542,2.1575,10.024,15.4790889356431
