Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3),Time(millisec)
7.3545,3.0045,2.835,0,16.666,32.8015071199246,0
7.4335,3.5715,3.1315,0,20.1825,43.5324756391611,0
7.73833333333333,3.402,3.04366666666667,0,20.612,41.9595987353845,0
