Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.202,2.664,2.043,7.905,14.824209956443,-84.4724578857422,-78.690071105957
5.056,2.394,2.381,9,15.0899996276792,-72.1212997436523,-60.9453964233398
5.011,2.439,2.135,9.135,13.6625795844398,-56.309928894043,-85.2363510131836
5.626,2.385,2.294,8.979,16.1168493743794,0,-51.3401947021484
4.969,2.368,2.056,8.155,12.6669608255227,-49.3987045288086,-71.5650482177734
4.851,2.351,2.036,8.69,12.1579485085973,-15.9453954696655,-79.3803482055664
4.571,2.388,0,7.999,0,-11.3099327087402,0
4.173,2.478,2.058,6.021,11.1427831680731,-26.5650501251221,-47.9108352661133
5.04,2.3,2.152,8.688,13.0616866784948,-57.0947608947754,-63.4349517822266
4.604,2.152,1.796,6.401,9.3171381832428,-32.0053863525391,-26.5650501251221
5.001,2.162,1.839,8.096,10.4110107691929,-17.2814960479736,-1.43209624290466
5.539,2.564,2.172,10.364,16.151312840568,-83.6598129272461,-63.4349517822266
5.551,2.343,2.14,9.046,14.5732331019137,0,-85.9143829345703
4.77,2.343,1.984,8.801,11.6099662637126,-72.7585372924805,0
5.638,2.259,1.849,8.403,12.3303906455918,0,-80.7889709472656
