Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.858,2.781,2.552,12.095,21.7685573611092,-45,0
5.697,2.794,2.647,11.119,22.0609995033123,-66.0375137329102,-21.4477367401123
5.565,2.929,2.552,12.357,21.7802987620591,0,0
5.733,2.828,2.153,12.282,18.2769615852926,-41.6335411071777,-80.5376739501953
5.774,2.636,2.594,11.348,20.6723942766074,0,0
5.648,2.695,2.191,9.275,17.4620190405396,-36.0273704528809,-37.8749847412109
4.852,2.752,2.396,9.715,16.7515368789223,-45,-45
4.959,2.769,2.249,10.021,16.1698183748152,-63.4349517822266,-45
5.615,2.745,2.611,11.404,21.0716043661529,-53.1301002502441,-33.6900672912598
5.941,2.803,2.385,12.123,20.7955138367207,0,0
5.571,2.709,2.603,9.458,20.5690841022751,-47.8624038696289,-14.036244392395
5.858,2.612,2.552,11.095,20.4456928540875,-4.39870500564575,0
