Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.876,2.752,2.04,8.873,17.2726513333156,-63.4349517822266,-62.2414588928223
6.547,2.707,2.223,13.174,20.6285490319602,-71.5650482177734,-29.0546054840088
5.389,2.803,2.201,9.332,17.4080428172247,-81.4692306518555,0
5.292,2.545,2.247,8.977,15.8456229257288,-11.5921754837036,-9.46232223510742
5.896,2.469,2.304,9.809,17.5614213024234,-75.9637603759766,0
5.843,2.434,2.084,9.332,15.5186092203699,-7.30575895309448,-20.2248592376709
5.844,2.4,2.249,10.152,16.5161769338338,-81.2538375854492,-50.5275421142578
6.193,2.53,2.382,12.056,19.5416837490508,-71.565055847168,-58.7815971374512
4.746,2.391,2.249,8.478,13.3627359803209,-56.3099365234375,-45
