Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.657,3.23,2.503,13.899,23.9468378222644,-60.9453964233398,-53.1301002502441
4.91,2.328,2.242,8.687,13.4183371154669,-10.3048467636108,-88.4518432617188
6.067,3.18,2.255,14.052,22.7796099484429,-58.6713027954102,0
6.524,3.26,2.703,15.927,30.1006740157224,-9.46232128143311,-57.52880859375
6.177,3.156,2.781,14.608,28.3866541825936,-45,-59.7435646057129
5.799,2.814,2.692,11.748,23.0012204137844,-45,-83.6598129272461
6.025,2.887,2.826,12.954,25.7379892381652,-20.5560455322266,0
5.597,2.678,2.571,11.284,20.1774638796219,-28.6104621887207,-7.43140935897827
6.456,3.181,2.769,14.979,29.7747942347215,-63.4349517822266,-63.4349517822266
5.327,2.807,2.486,10.697,19.4636755289344,-50.1944274902344,-57.9946174621582
6.141,2.905,2.687,13.079,25.0987170655676,-49.3987045288086,-61.6992454528809
6.402,3.138,2.678,15.336,28.1694134464386,0,0
5.903,2.785,2.552,12.671,21.9673300458826,-57.9946174621582,0
