Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3)
4.192,3.24,2.561,650.048994120333,9.185,18.2127063331381,0,0
6.767,3.191,2.787,556.548367874281,16.229,31.5107377805684,-5.71059226989746,0
6.862,3.242,2.884,422.766202174459,16.711,33.5936816714487,-3.1798300743103,-79.796028137207
6.911,3.27,2.866,290.161943422042,16.951,33.9127848004292,-1.36392760276794,-79.6951522827148
6.934,3.24,2.686,158.27857999666,16.909,31.5960998905102,0,-79.5922927856445
6.359,2.935,2.921,553.123880349769,14.466,28.5448069272985,-84.8055725097656,-5.44033241271973
6.399,3.02,2.935,463.846733756443,14.644,29.6979027680648,-83.6598129272461,-1.19348955154419
6.396,3.036,2.955,314.218570982189,14.79,30.0445933195995,-81.8698959350586,0
6.322,3.014,2.958,186.336032294058,14.65,29.51172065883,-80.406867980957,0
5.607,2.932,2.878,112.993132880698,13.235,24.7733041110979,-80.5376739501953,0
5.665,2.493,2.493,604.469216619376,11.492,18.4349979444616,0,0
6.207,2.509,2.489,521.403830643747,12.203,20.2957883650834,-2.79270219802856,-87.5104446411133
6.336,2.527,2.515,367.019287263542,12.469,21.0841949034688,0,-86.698127746582
6.254,2.538,2.515,238.633033578088,12.448,20.9019163990352,0,0
5.212,2.538,2.515,109.626203049631,11.231,17.4193777217415,0,0
5.756,2.334,2.19,597.890689689993,10.17,15.4050947609233,0,-2.3859441280365
6.232,2.379,2.266,465.760388144305,10.858,17.5905903367607,0,0
6.28,2.375,2.28,331.620435165898,11.091,17.8056046827509,-3.6522228717804,-89.3489379882813
6.282,2.372,2.291,238.574102927839,11.04,17.8745998505206,-3.1798300743103,-88.6677780151367
5.5,2.348,2.23,114.195491556092,10.216,15.0787127314104,-2.08256554603577,-87.1375961303711
5.66,2.788,2.336,521.306957385752,12.317,19.3010378041457,-8.53076553344727,-2.60256218910217
5.688,2.814,2.348,434.616676639911,12.443,19.6779746023451,-8.13010311126709,-1.50743579864502
5.747,2.832,2.357,289.610778116455,12.55,20.0859626593828,-7.27500486373901,0
5.701,2.853,2.353,194.899330787864,12.507,20.038876196943,-7.59464359283447,-89.2151794433594
6.296,2.879,2.787,592.016376398653,15.228,26.4509926755418,-4.08561658859253,0
7.204,3.287,2.992,473.375987625301,16.93,37.0965583598473,-89.0906219482422,-4.08561658859253
7.315,3.32,3.02,338.596978833925,17.2,38.402365736164,-87.9904479980469,-3.99091291427612
7.419,3.081,2.859,248.00754501994,17.275,34.2176237881946,-85.6839752197266,-82.7249984741211
6.028,2.923,2.855,122.597880867606,14.926,26.3394555659273,0,0
5.937,3.603,3.233,610.015871130493,17.369,36.2105930754687,-4.96974086761475,0
7.216,3.636,3.298,494.102535569874,19.348,45.3074555141932,-3.9451858997345,-0.855097353458405
7.262,4.215,3.333,403.551850642578,21.469,53.4180166970443,-2.29061007499695,-3.81407451629639
7.319,3.716,3.321,250.989010789324,19.944,47.2927916078234,-1.14576292037964,0
6.186,3.671,3.286,126.908754772792,18.02,39.0715357135311,0,0
6.968,3.733,2.674,555.978854554826,20.257,36.4188440651821,-78.690071105957,0
7.025,3.762,2.731,470.946574737911,20.556,37.7907440111816,-77.0053787231445,-89.1185989379883
7.183,3.779,2.719,323.277282503407,20.851,38.644757664645,-75.3791275024414,0
7.076,3.798,2.719,229.004279594729,20.898,38.2604976490365,-75.5297088623047,0
4.917,4.011,2.674,98.5132066394034,16.009,27.6129556589549,0,0
6.384,2.773,2.515,534.146445832268,14.06,23.3119906169533,-1.54815769195557,0
6.436,2.787,2.561,399.972191907445,14.351,24.0525543638923,0,0
6.504,2.836,2.538,309.041998405274,14.382,24.5119012970114,-88.4088592529297,0
6.39,2.806,2.538,149.821592432907,14.232,23.8275157298153,-87.3974456787109,0
5.37,2.878,2.493,625.152389526596,11.407,20.1737194121965,0,0
6.662,2.902,2.538,497.884315149838,14.844,25.691666539311,-84.2894058227539,0
6.685,2.934,2.538,401.623664191786,15.008,26.0646418164014,-82.2348327636719,0
6.685,2.969,2.561,246.192189175846,15.081,26.614591823501,-81.5730285644531,0
5.665,2.946,2.515,114.223082955567,13.423,21.9770435309723,0,0
5.919,2.814,2.694,610.315843769988,13.382,23.4946319879047,-3.81407451629639,-87.9786376953125
7.422,2.845,2.72,489.015726844912,15.597,30.0725840304971,-1.6846843957901,-87.488639831543
7.465,2.876,2.833,354.049825212784,15.854,31.8466599478478,0,-87.1135787963867
7.461,2.897,2.742,266.670287546894,15.796,31.0321315728679,0,-86.633544921875
6.338,2.878,2.729,131.269296710362,14.376,26.0642469894143,-88.3634185791016,0
6.164,3.15,2.723,594.007918030036,16.321,27.6834012466457,0,-88.2642974853516
7.358,3.187,2.727,513.750108226653,17.99,33.4830959376679,-1.97493386268616,-85.1792297363281
7.392,3.218,2.755,368.456606036936,18.407,34.3137532137266,0,-84.8055725097656
7.279,3.218,2.774,233.935536350245,18.359,34.0222348557961,0,-87.0133666992188
6.73,3.263,2.723,142.875606509511,17.938,31.3096636147589,0,-86.2570190429688
6.571,3.036,2.897,583.137989421318,16.326,30.2607962871701,0,-89.4884414672852
7.34,3.063,2.92,458.817974318195,17.435,34.3735613467012,-4.08561658859253,-89.0122375488281
7.346,3.491,3.059,330.149563687028,17.525,41.0751229535614,0,-9.46232223510742
7.352,3.082,2.97,243.731646694598,17.526,35.2365357371397,0,-87.7630233764648
6.201,3.337,2.943,546.482795439302,15.95,31.8864978407851,-5.71059322357178,-82.8749847412109
6.266,3.376,2.985,408.707834115855,16.35,33.0625073766117,0,-84.2894058227539
